TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0.340491,16.555467,-3.77748,-17.374269
0.341491,16.565893,-3.77748,-17.463656
0.342491,16.576319,-3.764257,-17.597738
0.343491,16.597171,-3.744421,-17.642432
0.344491,16.628449,-3.731198,-17.642432
0.345491,16.659728,-3.724586,-17.597738
0.346491,16.691006,-3.717974,-17.553044
0.347491,16.722284,-3.711363,-17.597738
0.348491,16.73271,-3.704751,-17.553044
0.349491,16.743136,-3.704751,-17.553044
0.350491,16.753562,-3.691528,-17.463656
0.351491,16.78484,-3.678304,-17.374269
0.352491,16.836971,-3.658469,-17.1508
0.353491,16.889101,-3.651857,-16.972025
0.354491,16.930806,-3.645245,-16.837943
0.355491,16.97251,-3.638634,-16.748556
0.356491,16.993362,-3.632022,-16.614474
0.357491,17.014214,-3.62541,-16.435699
0.358491,17.035066,-3.618798,-16.167536
0.359491,17.066345,-3.62541,-15.899373
0.360491,17.076771,-3.638634,-15.675904
0.361491,17.066345,-3.638634,-15.452435
0.362491,17.066345,-3.638634,-15.184273
0.363491,17.066345,-3.651857,-14.91611
0.364491,17.066345,-3.665081,-14.558559
0.365491,17.076771,-3.678304,-14.245703
0.366491,17.087197,-3.671692,-13.932846
0.367491,17.097623,-3.671692,-13.664683
0.368491,17.108049,-3.684916,-13.351827
0.369491,17.108049,-3.704751,-13.217745
0.370491,17.118475,-3.717974,-13.083664
0.371491,17.128901,-3.73781,-12.994276
0.372491,17.139327,-3.757645,-12.860195
0.373491,17.149753,-3.77748,-12.770807
0.374491,17.160179,-3.797315,-12.770807
0.375491,17.170605,-3.81715,-12.815501
0.376491,17.170605,-3.836986,-12.904889
0.377491,17.181031,-3.856821,-13.03897
0.378491,17.201884,-3.876656,-13.128358
0.379491,17.201884,-3.903103,-13.307133
0.380491,17.201884,-3.916326,-13.530602
0.381491,17.201884,-3.92955,-13.798765
0.382491,17.201884,-3.942773,-14.111621
0.383491,17.21231,-3.982444,-14.469172
0.384491,17.222736,-4.028726,-14.826722
0.385491,17.21231,-4.075008,-15.27366
0.386491,17.201884,-4.108067,-15.631211
0.387491,17.170605,-4.141125,-16.033455
0.388491,17.128901,-4.16096,-16.391005
0.389491,17.087197,-4.180796,-16.748556
0.390491,17.066345,-4.207242,-17.1508
0.391491,17.045492,-4.233689,-17.50835
0.392491,17.02464,-4.266748,-17.865901
0.393491,17.003788,-4.286583,-18.134064
0.394491,16.982936,-4.306418,-18.312839
0.395491,16.962084,-4.339477,-18.581002
0.396491,16.951658,-4.359312,-18.759777
0.397491,16.951658,-4.372536,-18.893858
0.398491,16.951658,-4.392371,-19.072633
0.399491,16.951658,-4.405594,-19.206715
0.400491,16.930806,-4.398983,-19.296102
0.401491,16.909953,-4.379147,-19.430184
0.402491,16.899527,-4.346089,-19.519571
0.403491,16.889101,-4.319642,-19.564265
0.404491,16.889101,-4.293195,-19.519571
0.405491,16.909953,-4.27336,-19.474878
0.406491,16.941232,-4.253525,-19.430184
0.407491,16.97251,-4.220466,-19.340796
0.408491,17.003788,-4.180796,-19.206715
0.409491,17.035066,-4.127902,-19.072633
0.410491,17.066345,-4.08162,-18.938552
0.411491,17.097623,-4.028726,-18.893858
0.412491,17.128901,-3.962608,-18.759777
0.413491,17.160179,-3.909715,-18.670389
0.414491,17.170605,-3.856821,-18.581002
0.415491,17.181031,-3.790703,-18.44692
0.416491,17.191458,-3.73781,-18.223451
0.417491,17.21231,-3.698139,-17.955288
0.418491,17.243588,-3.665081,-17.597738
0.419491,17.274866,-3.645245,-17.195494
0.420491,17.306144,-3.62541,-16.882637
0.421491,17.337423,-3.605575,-16.614474
0.422491,17.358275,-3.58574,-16.301618
0.423491,17.358275,-3.565905,-15.988761
0.424491,17.337423,-3.552681,-15.675904
0.425491,17.306144,-3.552681,-15.452435
0.426491,17.274866,-3.559293,-15.228966
0.427491,17.233162,-3.565905,-15.139579
0.428491,17.181031,-3.58574,-14.960804
0.429491,17.128901,-3.618798,-14.826722
0.430491,17.076771,-3.645245,-14.692641
0.431491,17.035066,-3.684916,-14.558559
0.432491,16.993362,-3.731198,-14.424478
0.433491,16.962084,-3.764257,-14.424478
0.434491,16.930806,-3.784092,-14.513866
0.473962,16.878675,-3.797315,-14.647947
0.474962,16.826545,-3.790703,-14.826722
0.475962,16.774414,-3.784092,-14.91611
0.476962,16.722284,-3.770868,-15.050191
0.477962,16.670154,-3.757645,-15.228966
0.478962,16.628449,-3.744421,-15.407742
0.479962,16.597171,-3.731198,-15.541823
0.480962,16.586745,-3.711363,-15.586517
0.481962,16.576319,-3.684916,-15.631211
0.482962,16.576319,-3.658469,-15.541823
0.483962,16.597171,-3.618798,-15.452435
0.484962,16.618023,-3.579128,-15.407742
0.485962,16.638875,-3.526234,-15.407742
0.486962,16.659728,-3.466729,-15.407742
0.487962,16.68058,-3.400611,-15.407742
0.488962,16.68058,-3.354329,-15.407742
0.489962,16.68058,-3.314659,-15.363048
0.490962,16.691006,-3.288212,-15.318354
0.491962,16.701432,-3.274988,-15.318354
0.492962,16.711858,-3.268377,-15.407742
0.493962,16.722284,-3.274988,-15.407742
0.494962,16.73271,-3.2816,-15.452435
0.495962,16.743136,-3.288212,-15.452435
0.496962,16.753562,-3.294824,-15.541823
0.497962,16.753562,-3.294824,-15.675904
0.498962,16.753562,-3.308047,-15.85468
0.499962,16.753562,-3.321271,-16.122842
0.500962,16.743136,-3.341106,-16.480393
0.501962,16.73271,-3.341106,-16.793249
0.502962,16.73271,-3.360941,-17.061412
0.503962,16.73271,-3.380776,-17.329575
0.504962,16.73271,-3.407223,-17.553044
0.505962,16.753562,-3.420447,-17.687126
0.506962,16.774414,-3.43367,-17.776513
0.507962,16.795267,-3.440282,-17.910595
0.508962,16.826545,-3.453505,-17.955288
0.509962,16.857823,-3.453505,-17.910595
0.510962,16.889101,-3.440282,-17.955288
0.511962,16.92038,-3.420447,-17.955288
0.512962,16.951658,-3.400611,-17.999982
0.513962,16.982936,-3.380776,-17.999982
0.514962,17.014214,-3.374164,-17.999982
0.515962,17.045492,-3.354329,-17.910595
0.516962,17.076771,-3.334494,-17.776513
0.517962,17.108049,-3.327882,-17.597738
