TIME,A Flex/Ext,Knee Int/Ext R,A I/E
0.421084,20.194168,-1.734455,-10.357342
0.460549,20.225447,-1.734455,-10.357342
0.461549,20.246299,-1.734455,-10.312648
0.462549,20.246299,-1.734455,-10.267954
0.463549,20.246299,-1.741067,-10.22326
0.464549,20.256725,-1.747679,-10.089179
0.465549,20.267151,-1.767514,-9.999791
0.466549,20.277577,-1.793961,-9.910404
0.467549,20.288003,-1.827019,-9.910404
0.468549,20.308855,-1.853466,-9.86571
0.469549,20.319281,-1.879913,-9.86571
0.470549,20.329707,-1.899749,-9.86571
0.471549,20.319281,-1.919584,-9.910404
0.472549,20.308855,-1.939419,-10.044485
0.473549,20.298429,-1.972478,-10.267954
0.474549,20.256725,-1.998924,-10.625505
0.475549,20.225447,-2.031983,-10.893667
0.476549,20.204594,-2.065042,-11.072443
0.477549,20.16289,-2.084877,-11.251218
0.478549,20.142038,-2.104712,-11.385299
0.479549,20.131612,-2.131159,-11.519381
0.480549,20.121186,-2.137771,-11.653462
0.481549,20.089908,-2.144383,-11.832237
0.482549,20.058629,-2.144383,-12.011013
0.483549,20.027351,-2.157606,-12.189788
0.484549,20.006499,-2.157606,-12.323869
0.485549,19.964795,-2.157606,-12.502644
0.486549,19.92309,-2.150994,-12.68142
0.487549,19.881386,-2.150994,-12.860195
0.488549,19.850108,-2.150994,-12.949582
0.489549,19.818829,-2.150994,-12.994276
0.490549,19.787551,-2.144383,-12.994276
0.491549,19.787551,-2.131159,-12.860195
0.492549,19.787551,-2.104712,-12.815501
0.493549,19.787551,-2.078265,-12.726113
0.494549,19.797977,-2.051818,-12.636726
0.495549,19.797977,-2.025371,-12.547338
0.496549,19.797977,-1.985701,-12.457951
0.497549,19.797977,-1.959254,-12.368563
0.498549,19.808403,-1.932807,-12.279175
0.499549,19.818829,-1.90636,-12.189788
0.500549,19.818829,-1.853466,-12.1004
0.501549,19.797977,-1.807184,-12.011013
0.502549,19.787551,-1.760902,-11.876931
0.503549,19.777125,-1.721232,-11.787544
0.504549,19.766699,-1.688173,-11.74285
0.505549,19.756273,-1.655115,-11.74285
0.506549,19.756273,-1.622056,-11.74285
0.507549,19.756273,-1.588997,-11.787544
0.508549,19.756273,-1.569162,-11.921625
0.509549,19.756273,-1.555939,-11.921625
0.510549,19.756273,-1.536103,-11.966319
0.511549,19.756273,-1.52288,-11.966319
0.512549,19.756273,-1.509656,-12.011013
0.513549,19.756273,-1.503045,-12.1004
0.514549,19.756273,-1.496433,-12.189788
0.515549,19.756273,-1.489821,-12.323869
0.516549,19.756273,-1.48321,-12.457951
0.517549,19.787551,-1.489821,-12.592032
0.518549,19.829256,-1.496433,-12.726113
0.519549,19.87096,-1.509656,-12.860195
0.520549,19.912664,-1.529492,-12.904889
0.521549,19.954369,-1.542715,-12.860195
0.522549,19.996073,-1.555939,-12.815501
0.523549,20.016925,-1.569162,-12.815501
0.524549,20.048203,-1.582385,-12.770807
0.525549,20.069055,-1.595609,-12.636726
0.526549,20.089908,-1.615444,-12.636726
0.527549,20.11076,-1.655115,-12.636726
0.528549,20.142038,-1.708008,-12.726113
0.529549,20.183742,-1.760902,-12.904889
0.530549,20.215021,-1.813796,-12.994276
0.531549,20.256725,-1.86669,-13.083664
0.532549,20.298429,-1.919584,-13.128358
0.533549,20.340133,-1.979089,-13.173051
0.534549,20.360986,-2.045207,-13.262439
0.535549,20.381838,-2.104712,-13.351827
0.536549,20.413116,-2.150994,-13.39652
0.537549,20.444394,-2.190665,-13.485908
0.538549,20.475672,-2.230335,-13.619989
0.539549,20.506951,-2.270005,-13.754071
0.540549,20.559081,-2.309676,-13.754071
0.541549,20.590359,-2.349346,-13.709377
0.542549,20.632064,-2.375793,-13.754071
0.543549,20.673768,-2.389017,-13.754071
0.544549,20.715472,-2.382405,-13.754071
0.545549,20.736324,-2.355958,-13.754071
0.546549,20.736324,-2.322899,-13.619989
0.547549,20.757177,-2.289841,-13.530602
0.548549,20.757177,-2.256782,-13.441214
0.549549,20.757177,-2.223723,-13.351827
0.550549,20.746751,-2.177441,-13.262439
0.551549,20.725898,-2.117936,-13.128358
0.552549,20.715472,-2.071654,-13.03897
0.553549,20.684194,-2.031983,-12.994276
0.554549,20.652916,-1.998924,-12.949582
0.555549,20.621638,-1.965866,-12.904889
0.556549,20.590359,-1.932807,-12.860195
0.557549,20.538229,-1.893137,-12.994276
0.558549,20.496525,-1.853466,-13.173051
0.559549,20.423542,-1.820408,-13.307133
0.560549,20.35056,-1.793961,-13.441214
0.561549,20.277577,-1.780737,-13.619989
0.562549,20.215021,-1.774126,-13.664683
0.563549,20.16289,-1.780737,-13.709377
0.564549,20.100334,-1.787349,-13.754071
0.565549,20.048203,-1.793961,-13.798765
0.566549,19.996073,-1.800573,-13.798765
0.567549,19.964795,-1.813796,-13.843458
0.568549,19.954369,-1.833631,-13.888152
0.569549,19.92309,-1.846855,-13.843458
0.570549,19.912664,-1.860078,-13.798765
0.571549,19.912664,-1.860078,-13.754071
0.572549,19.912664,-1.860078,-13.709377
0.573549,19.912664,-1.860078,-13.664683
0.574549,19.92309,-1.873302,-13.485908
0.575549,19.933516,-1.886525,-13.307133
0.576549,19.954369,-1.899749,-13.083664
0.577549,19.975221,-1.90636,-12.815501
0.578549,19.996073,-1.893137,-12.457951
0.579549,20.016925,-1.879913,-12.234482
0.580549,20.037777,-1.860078,-12.145094
0.581549,20.058629,-1.846855,-12.055706
0.582549,20.079481,-1.833631,-12.011013
0.583549,20.100334,-1.820408,-12.011013
0.584549,20.11076,-1.807184,-11.966319
0.585549,20.100334,-1.793961,-11.921625
0.586549,20.100334,-1.780737,-11.921625
0.587549,20.079481,-1.767514,-11.966319
0.588549,20.037777,-1.760902,-12.011013
0.589549,19.996073,-1.75429,-12.055706
0.590549,19.964795,-1.747679,-12.1004
0.591549,19.943942,-1.734455,-12.189788
0.592549,19.92309,-1.727844,-12.279175
0.593549,19.92309,-1.721232,-12.413257
0.594549,19.92309,-1.727844,-12.592032
0.595549,19.933516,-1.75429,-12.860195
0.596549,19.943942,-1.780737,-13.128358
0.597549,19.954369,-1.807184,-13.262439
0.598549,19.975221,-1.820408,-13.39652
0.599549,19.996073,-1.846855,-13.441214
0.600549,20.027351,-1.873302,-13.441214
0.601549,20.058629,-1.90636,-13.441214
0.602549,20.100334,-1.939419,-13.441214
0.603549,20.152464,-1.972478,-13.441214
0.604549,20.215021,-2.005536,-13.39652
0.605549,20.288003,-2.038595,-13.351827
0.606549,20.360986,-2.071654,-13.307133
0.607549,20.413116,-2.104712,-13.262439
0.608549,20.444394,-2.131159,-13.217745
0.609549,20.475672,-2.144383,-13.217745
0.610549,20.506951,-2.157606,-13.217745
0.611549,20.538229,-2.164218,-13.307133
0.612549,20.548655,-2.157606,-13.307133
0.613549,20.559081,-2.144383,-13.217745
0.614549,20.569507,-2.131159,-13.128358
0.615549,20.569507,-2.124547,-13.03897
0.616549,20.569507,-2.084877,-12.994276
0.617549,20.548655,-2.045207,-13.03897
0.618549,20.527803,-1.998924,-13.03897
0.619549,20.506951,-1.946031,-12.994276
0.620549,20.465246,-1.893137,-12.949582
0.621549,20.423542,-1.840243,-12.904889
0.622549,20.381838,-1.787349,-12.860195
0.623549,20.340133,-1.734455,-12.815501
0.624549,20.308855,-1.688173,-12.770807
0.625549,20.277577,-1.655115,-12.726113
0.626549,20.246299,-1.628668,-12.636726
0.627549,20.194168,-1.602221,-12.592032
0.628549,20.142038,-1.575774,-12.413257
0.629549,20.100334,-1.575774,-12.279175
0.630549,20.058629,-1.588997,-12.189788
0.631549,20.027351,-1.602221,-12.189788
0.632549,19.985647,-1.622056,-12.189788
0.633549,19.943942,-1.661726,-12.189788
0.634549,19.912664,-1.694785,-12.145094
0.635549,19.881386,-1.721232,-12.145094
0.636549,19.850108,-1.767514,-12.189788
0.637549,19.829256,-1.813796,-12.234482
0.638549,19.808403,-1.86669,-12.234482
0.639549,19.787551,-1.926195,-12.234482
0.640549,19.766699,-1.985701,-12.234482
0.641549,19.745847,-2.031983,-12.189788
0.642549,19.745847,-2.071654,-12.145094
0.643549,19.745847,-2.111324,-12.055706
0.644549,19.756273,-2.157606,-11.876931
0.645549,19.766699,-2.203888,-11.74285
0.646549,19.777125,-2.223723,-11.608768
0.647549,19.787551,-2.236947,-11.474687
0.648549,19.777125,-2.25017,-11.295912
0.649549,19.777125,-2.25017,-11.117136
0.650549,19.777125,-2.256782,-10.938361
0.651549,19.797977,-2.276617,-10.80428
0.652549,19.818829,-2.303064,-10.670198
0.653549,19.829256,-2.309676,-10.536117
0.654549,19.839682,-2.316288,-10.357342
0.655549,19.850108,-2.309676,-10.22326
0.656549,19.860534,-2.289841,-10.089179
0.657549,19.881386,-2.270005,-9.955098
0.658549,19.902238,-2.256782,-9.910404
0.659549,19.902238,-2.243559,-9.910404
0.694326,19.902238,-2.223723,-9.955098
0.695326,19.902238,-2.190665,-10.044485
0.696326,19.902238,-2.157606,-10.133873
0.697326,19.902238,-2.131159,-10.22326
0.698326,19.902238,-2.104712,-10.312648
0.699326,19.912664,-2.078265,-10.402036
0.700326,19.92309,-2.051818,-10.491423
0.701326,19.943942,-2.01876,-10.536117
0.702326,19.92309,-1.979089,-10.536117
0.703326,19.912664,-1.939419,-10.580811
0.704326,19.92309,-1.90636,-10.625505
0.705326,19.933516,-1.873302,-10.80428
0.706326,19.943942,-1.846855,-10.983055
0.707326,19.954369,-1.827019,-11.16183
0.708326,19.943942,-1.807184,-11.295912
0.709326,19.933516,-1.800573,-11.385299
0.710326,19.943942,-1.793961,-11.385299
0.711326,19.954369,-1.800573,-11.385299
0.712326,19.964795,-1.820408,-11.385299
0.713326,19.975221,-1.833631,-11.340606
0.714326,19.985647,-1.846855,-11.340606
0.715326,20.006499,-1.860078,-11.340606
0.716326,20.027351,-1.873302,-11.295912
0.717326,20.048203,-1.899749,-11.251218
0.718326,20.048203,-1.926195,-11.295912
0.719326,20.069055,-1.952642,-11.251218
0.720326,20.079481,-1.979089,-11.072443
0.721326,20.079481,-2.005536,-10.938361
0.722326,20.079481,-2.025371,-10.670198
0.723326,20.079481,-2.045207,-10.402036
0.724326,20.079481,-2.071654,-10.178567
0.725326,20.089908,-2.104712,-10.044485
0.726326,20.089908,-2.111324,-9.910404
0.727326,20.079481,-2.117936,-9.821016
0.728326,20.079481,-2.111324,-9.731629
0.729326,20.079481,-2.091489,-9.642241
0.730326,20.079481,-2.091489,-9.686935
0.731326,20.079481,-2.084877,-9.642241
0.732326,20.058629,-2.084877,-9.597547
0.733326,20.037777,-2.084877,-9.686935
